data_pregao,sigla_acao,nome_acao,preco_abertura,preco_maximo,preco_minimo,preco_fechamento,qtd_negocios,volume_negocios
2022-01-03,GNDI3,INTERMEDICA,59.7,60.88,57.27,58.75,3960200,23351263100
2022-01-03,ABEV3,AMBEV S/A,15.42,15.54,15.15,15.33,23833600,36454098800
2022-01-03,MODL11,MODALMAIS,10.8,11.47,10.71,10.93,725000,803365000
2022-01-03,TASA4,TAURUS ARMAS,25.0,25.05,24.28,24.54,610900,1506876600
2022-01-03,CRIV4,ALFA FINANC,5.68,5.7,5.57,5.7,5800,3296500
2022-01-03,UPAC34,UNIONPACIFIC,356.21,356.21,351.4,352.45,247,8726915
2022-01-03,MCDC34,MCDONALDS,75.2,76.5,75.1,75.8,35334,267277622
2022-01-03,I1XC34,ORIX CORP,72.55,72.55,72.55,72.55,208,1509040
2022-01-03,HAGA4,HAGA S/A,2.02,2.1,1.94,2.02,59700,11937600
2022-01-03,LPSB3,LOPES BRASIL,2.29,2.32,2.14,2.14,1552200,341483300
2022-01-03,RCSL3,RECRUSUL,5.76,6.33,5.63,5.7,6668000,3997674300
2022-01-03,BIAU39,GOLD TRUST,48.38,48.6,48.38,48.6,1309,6349343
2022-01-03,ELET3,ELETROBRAS,33.44,34.19,32.48,32.63,3669800,12082918200
2022-01-03,V1IP34,VIPSHOP HOLD,23.81,23.81,23.81,23.81,1,2381
2022-01-03,SOJA3,BOA SAFRA,15.9,16.42,15.44,15.61,275200,434909600
2022-01-03,IFCM3,INFRACOMM,17.8,17.8,16.84,17.8,1682000,2927020300
2022-01-03,BEWZ39,MSCI BRAZIL,51.68,51.68,51.68,51.68,200,1033600
2022-01-03,REDE3,REDE ENERGIA,6.5,6.7,6.5,6.66,600,397600
2022-01-03,E1TN34,EATON CORP P,478.08,478.08,478.08,478.08,1,47808
2022-01-03,EQTL3,EQUATORIAL,22.3,22.81,21.81,22.07,6342700,13977282700
2022-01-03,LAME4,LOJAS AMERIC,5.91,5.95,5.53,5.86,31806300,18261792800
2022-01-03,BGRT39,GLOBAL REIT,57.6,57.6,57.06,57.48,321,1841424
2022-01-03,GDBR34,GEN DYNAMICS,1173.0,1173.0,1173.0,1173.0,11,1290300
2022-01-03,AFLT3,AFLUENTE T,8.5,8.88,8.5,8.88,500,433300
2022-01-03,M1UF34,MITSUBISHI U,31.5,31.5,31.47,31.47,2,6297
2022-01-03,MDIA3,M.DIASBRANCO,25.65,25.86,24.91,25.08,1035300,2609337700
2022-01-03,SGPS3,SPRINGS,4.81,4.99,4.56,4.7,116800,54899400
2022-01-03,ENJU3,ENJOEI,2.88,2.94,2.68,2.68,2320100,639996500
2022-01-03,CRPG5,CRISTAL,68.95,69.2,66.2,67.28,7200,48720300
2022-01-03,RCSL4,RECRUSUL,1.43,1.44,1.38,1.39,645000,90079000
2022-01-03,LIGT3,LIGHT S/A,11.81,11.89,11.08,11.12,1549000,1746889300
2023-01-02,NEOE3,NEOENERGIA,15.4,15.4,14.98,15.03,325000,490215100
2023-01-02,NEXP3,NEXPE,0.31,0.31,0.29,0.3,197700,5898000
2023-01-02,NGRD3,NEOGRID,1.48,1.5,1.43,1.45,589900,86150900
2023-01-02,NINJ3,GETNINJAS,2.7,2.79,2.69,2.71,76000,20792600
2023-01-02,NORD3,NORDON MET,8.48,9.0,8.48,8.5,2700,2314300
2023-01-02,TTEN3,3TENTOS,9.65,9.65,9.07,9.36,701700,648253300
2023-01-02,TUPY3,TUPY,27.71,27.71,25.83,26.57,573000,1511380400
2023-01-02,UCAS3,UNICASA,2.55,2.55,2.47,2.49,9600,2401600
2023-01-02,UGPA3,ULTRAPAR,12.4,12.52,11.85,11.95,2973300,3572179500
2023-01-02,ALUP11,ALUPAR,27.93,28.24,27.2,27.67,795800,2200878800
2023-01-02,DMVF3,D1000VFARMA,4.0,4.07,3.95,3.99,7500,3017400
2023-01-02,DOHL4,DOHLER,4.24,4.29,4.21,4.26,1700,719600
2023-01-02,DOTZ3,DOTZ SA,1.29,1.29,1.23,1.27,29400,3663800
2023-01-02,DXCO3,DEXCO,6.69,6.69,6.45,6.63,1491800,980314700
2023-01-02,EALT4,ACO ALTONA,6.71,6.94,6.56,6.56,46000,30887600
2023-01-02,PORT3,WILSON SONS,10.82,11.02,10.58,10.6,115700,123348400
2023-01-02,POSI3,POSITIVO TEC,9.39,9.4,8.66,8.82,1761000,1564475400
2023-01-02,PRIO3,PETRORIO,36.88,37.66,36.45,36.76,6577200,24255931200
2023-01-02,SYNE3,SYN PROP TEC,4.13,4.13,4.0,4.06,857000,347935200
2023-01-02,BLAU3,BLAU,28.0,28.0,25.23,26.03,141000,365797400
2023-01-02,ABEV3,AMBEV S/A,14.4,14.45,14.02,14.19,14995900,21285685100
2023-01-02,BRGE11,ALFA CONSORC,8.9,8.9,8.9,8.9,100,89000
2023-01-02,BRIT3,BRISANET,2.73,2.73,2.52,2.54,830500,211349800
2023-01-02,BRIV3,ALFA INVEST,9.0,9.0,9.0,9.0,100,90000
2023-01-02,BRIV4,ALFA INVEST,9.29,9.29,8.5,8.99,1900,1653100
2023-01-02,BRKM3,BRASKEM,24.97,24.97,24.06,24.96,9400,23099600
2023-01-02,BRKM5,BRASKEM,23.86,23.86,22.88,23.22,1345700,3123548200
2023-01-02,BRML3,BR MALLS PAR,8.2,8.21,7.98,8.03,8134100,6550442000
2023-01-02,BRPR3,BR PROPERT,6.42,6.42,6.29,6.33,1297900,820937700
2023-01-02,DASA3,DASA,13.66,13.69,12.83,13.38,396900,524958800
2023-01-02,ODPV3,ODONTOPREV,9.0,9.02,8.69,8.89,836500,740496300
2023-01-02,OFSA3,OUROFINO S/A,23.77,24.01,23.65,23.65,8300,19639100
2023-01-02,OIBR3,OI,0.17,0.18,0.17,0.17,43178300,748225800
2023-01-02,OIBR4,OI,0.52,0.54,0.51,0.53,1350700,71523800
2023-01-02,ONCO3,ONCOCLINICAS,5.95,5.96,5.54,5.79,1937800,1101961200
2023-01-02,PFRM3,PROFARMA,3.63,3.63,3.48,3.48,132100,46477400
2023-01-02,SEER3,SER EDUCA,4.4,4.4,4.23,4.36,497800,213585200
2023-01-02,SEQL3,SEQUOIA LOG,3.01,3.07,2.81,2.93,2604100,757068000
2023-01-02,SGPS3,SPRINGS,1.38,1.38,1.24,1.27,222100,28448700
2023-01-02,SHOW3,TIME FOR FUN,2.35,2.45,2.3,2.45,131500,31156700
2023-01-02,SHUL4,SCHULZ,4.7,4.71,4.51,4.62,390100,178714700
2023-01-02,SIMH3,SIMPAR,6.65,6.65,6.21,6.33,2999600,1894721300
2023-01-02,SLCE3,SLC AGRICOLA,45.94,46.17,45.01,45.94,731200,3342643600
2023-01-02,ALUP3,ALUPAR,9.59,9.59,8.92,9.05,16200,14610700
2023-01-02,ALUP4,ALUPAR,9.63,9.63,9.1,9.1,8400,7782700
2023-01-02,AMAR3,LOJAS MARISA,1.24,1.25,1.17,1.25,4320500,520344500
2023-01-02,AMBP3,AMBIPAR,20.53,20.53,19.71,20.34,885900,1775669300
2023-01-02,AMER3,AMERICANAS,9.47,9.51,8.97,9.03,16237300,14843793800
2023-01-02,MEAL3,IMC S/A,2.8,2.81,2.67,2.81,976900,269089600
2024-01-02,AALR3,ALLIAR,10.2,10.36,8.5,8.5,430400,401487500
2024-01-02,ABCB4,ABC BRASIL,23.98,23.98,22.79,22.88,1944700,4494730800
2024-01-02,ABEV3,AMBEV S/A,13.72,13.73,13.59,13.71,11690200,15983911100
2024-01-02,BBDC3,BRADESCO,15.26,15.26,14.98,15.11,4545600,6857685400
2024-01-02,ALPA3,ALPARGATAS,10.11,10.3,9.99,10.0,2900,2912000
2024-01-02,ALPA4,ALPARGATAS,10.1,10.12,9.31,9.31,6907000,6713502800
2024-01-02,ALPK3,ESTAPAR,4.92,4.97,4.47,4.66,234900,108194400
2024-01-02,ALUP11,ALUPAR,31.46,31.56,30.25,30.45,834400,2547695200
2024-01-02,ALUP3,ALUPAR,10.46,10.46,10.07,10.15,14400,14731400
2024-01-02,ALUP4,ALUPAR,10.62,10.62,10.0,10.0,32200,32965200
2024-01-02,AMAR3,LOJAS MARISA,3.63,3.71,3.45,3.48,965800,342819000
2024-01-02,AMBP3,AMBIPAR,16.17,16.29,15.51,15.58,1379300,2183818700
2024-01-02,RCSL3,RECRUSUL,2.43,2.73,2.38,2.48,4944100,1260670600
2024-01-02,RCSL4,RECRUSUL,0.88,0.88,0.86,0.87,2908500,253074400
2024-01-02,RDNI3,RNI,4.69,4.72,4.5,4.63,26700,12335700
2024-01-02,RDOR3,REDE D OR,28.11,28.36,27.58,27.74,4877200,13560946000
2024-01-02,TASA4,TAURUS ARMAS,15.2,15.23,14.7,14.76,547700,818814000
2024-01-02,TCSA3,TECNISA,3.98,4.0,3.82,3.92,112500,43829100
2024-01-02,TECN3,TECHNOS,3.52,3.65,3.5,3.63,334800,119979300
2024-01-02,TELB3,TELEBRAS,15.75,15.75,15.42,15.42,500,777000
2024-01-02,TELB4,TELEBRAS,12.91,12.96,12.3,12.31,10700,13468200
2024-01-02,TRAD3,TC,0.87,0.87,0.83,0.86,642700,54519600
2024-01-02,TRIS3,TRISUL,5.75,5.75,5.45,5.49,1668800,930986600
2024-01-02,TRPL3,TRAN PAULIST,35.14,36.0,35.14,35.85,800,2850100
2024-01-02,TRPL4,TRAN PAULIST,26.38,26.68,25.98,26.2,2271400,5948863600
2024-01-02,VLID3,VALID,20.79,21.02,20.47,20.6,684400,1414316800
2024-01-02,BMEB3,MERCANTIL,20.22,20.22,20.18,20.22,600,1212400
2024-01-02,BMEB4,MERCANTIL,17.0,17.05,16.5,16.5,14600,24678400
2024-01-02,BMGB4,BANCO BMG,3.25,3.26,3.12,3.16,1023500,326116700
2024-01-02,BMKS3,BIC MONARK,359.98,359.98,350.97,359.97,50,1798580
2024-01-02,BMOB3,BEMOBI TECH,14.01,14.04,13.42,13.65,432700,588503400
2024-01-02,BNBR3,NORD BRASIL,112.0,112.0,112.0,112.0,100,1120000
2024-01-02,BOBR4,BOMBRIL,2.04,2.05,2.0,2.0,41600,8412600
2024-01-02,CCRO3,CCR SA,14.07,14.13,13.82,13.99,4084400,5701013600
2024-01-02,BRAP4,BRADESPAR,25.71,25.84,25.31,25.41,3148900,8059346800
2024-01-02,EPAR3,EMBPAR S/A,11.8,11.8,10.78,10.81,41000,45782000
2024-01-02,EQMA3B,EQTLMARANHAO,29.79,29.8,29.5,29.5,600,1781800
2024-01-02,EQPA3,EQTL PARA,7.62,7.63,7.48,7.63,3000,2281000
2024-01-02,EQTL3,EQUATORIAL,35.72,35.82,34.86,35.0,4762600,16727575300
2024-01-02,ESPA3,ESPACOLASER,1.23,1.24,1.14,1.15,2244800,265225600
2024-01-02,ESTR4,ESTRELA,4.02,4.18,4.0,4.18,2600,1043800
2024-01-02,EUCA3,EUCATEX,16.06,16.52,16.05,16.5,1100,1782900
2024-01-02,CRFB3,CARREFOUR BR,12.32,12.44,11.92,12.01,4574900,5519152100
2024-01-02,CRIV3,ALFA FINANC,5.89,5.89,5.89,5.89,400,235600
